"","TYPEOFTREE","SPECIESTYPE","SPECIES","AGE","DESCRIPTION","TREESURROUND","VIGOUR","CONDITION","DIAMETERinCENTIMETRES","SPREADRADIUSinMETRES","TREELOCATIONX","TREELOCATIONY","LONGITUDE","LATITUDE","TREETAG","TREEHEIGHTinMETRES"
"30861","StreetTree","Lime","Tilla cordata 'Green Spire'","Semi-Mature","Semi Mature","Tarmac","Low","Poor",15,2,334711.97,372158.34,-5.917371,54.579737,"",8
"30878","StreetTree","Rowan","Sorbus aucuparia (type)","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",13,3,334479.54,371808.36,-5.921123,54.576657,"",4
"30931","StreetTree","Crab Apple","Malus tschonoskii","Semi-Mature","Semi Mature","Tarmac","Low","Poor",14,2,332009.25,371311.4,-5.95952,54.572845,"",8
"30933","StreetTree","Ash","Fraxinus excelsior 'Geesink'","Semi-Mature","Semi Mature","Paved Brick Paviour","Normal","Poor",11,1,333163.03,372255.52,-5.941265,54.581019,"",8
"30953","StreetTree","Lime","Tilla cordata 'Green Spire'","Juvenile","Select Standard","Tarmac","Low","Poor",4,1,331828,370636.08,-5.962624,54.56683,"",4
"30959","StreetTree","Pear","Pyrus (type)","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",11,2,333558.69,373176.89,-5.934731,54.589186,"",9
"30983","StreetTree","Hornbeam","Carpinus betulus 'Frans Fontaine'","Juvenile","Select Standard","Tarmac","Normal","Poor",10,2,331699.66,370505.87,-5.964665,54.565694,"",5
"30995","StreetTree","Ash","Fraxinus excelsior 'Atlas'","Juvenile","Select Standard","Paved Brick Paviour","Normal","Poor",10,1,333444.54,372611.67,-5.936753,54.584142,"",6
"31005","StreetTree","Rowan","Sorbus hupehensis","Semi-Mature","Semi Mature","Tarmac","Low","Poor",11,2,333148.6,372718.08,-5.941279,54.585175,"",6
"31016","StreetTree","Maple","Acer cappadocicum 'Rubrum'","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",15,3,333029.53,372604.63,-5.94317,54.584188,"",7
"31023","StreetTree","Rowan","Sorbus aucuparia (type)","Juvenile","Select Standard","Paved Brick Paviour","Low","Poor",10,1,332029.36,371238.14,-5.959243,54.572182,"",5
"31070","StreetTree","Cherry","Prunus (type)","Juvenile","Select Standard","Tarmac","Low","Poor",6,1,336172.25,373525.61,-5.89417,54.59162,"",5
"31076","StreetTree","Cherry","Prunus x schmittii","Semi-Mature","Semi Mature","Tarmac","Low","Poor",14,2,332597.6,372088.9,-5.950079,54.579671,"",6
"31079","StreetTree","Cherry","Prunus x hillieri 'Spire'","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",13,1,332635.64,372142.6,-5.949467,54.580143,"",6
"31085","StreetTree","Cherry","Prunus x hillieri 'Spire'","Juvenile","Extra Heavy Standard","Tarmac","Low","Poor",10,1,332902.66,372478.11,-5.945188,54.583085,"",8
"31094","StreetTree","Cherry","Prunus avium 'Plena'","Semi-Mature","Semi Mature","Paved Brick Paviour","Normal","Poor",14,2,336475.09,373671.76,-5.889421,54.59285,"",7
"31150","StreetTree","Lime","Tilla (type)","Juvenile","Select Standard","Tarmac","Normal","Poor",4,1,332782.79,371642.64,-5.947418,54.575617,"",4
"31195","StreetTree","Lime","Tilla cordata 'Green Spire'","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",14,1,335975.82,373327.15,-5.897299,54.589891,"",7
"31206","StreetTree","Maple","Acer platanoides 'Columnare'","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",17,2,334128.27,372547.21,-5.926214,54.583383,"",7
"31209","StreetTree","Hazel","Corylus colurna","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",15,2,334068.44,372637.7,-5.927098,54.584211,"",7
"31217","StreetTree","Hornbeam","Carpinus betulus 'Fastigiata'","Semi-Mature","Semi Mature","Tarmac","Low","Poor",12,1,334227.23,372752.71,-5.924591,54.585201,"",7
"31249","StreetTree","Maple","Acer cappadocicum 'Rubrum'","Juvenile","Extra Heavy Standard","Paved Brick Paviour","Low","Poor",10,1,335077.14,371316,-5.912114,54.572078,"",7
"31262","StreetTree","Lime","Tilla cordata 'Green Spire'","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",14,1,335879.8,373520.71,-5.898693,54.591655,"",8
"31268","StreetTree","Lime","Tilla cordata 'Green Spire'","Semi-Mature","Semi Mature","Paved Brick Paviour","Normal","Poor",14,4,335542.12,373815.08,-5.903778,54.594388,"",7
"31312","StreetTree","Lime","Tilla cordata 'Green Spire'","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",14,2,334168.49,373362.73,-5.92522,54.590693,"",6
"31322","StreetTree","Rowan","Sorbus x thuringiaca 'Fastigiata'","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",13,3,334242.44,372532.09,-5.924457,54.583217,"",9
"31326","StreetTree","Lime","Tilla cordata 'Green Spire'","Juvenile","Extra Heavy Standard","Tarmac","Normal","Poor",9,2,334196.65,372665.96,-5.925103,54.58443,"",6
"31328","StreetTree","Maple","Acer platanoides 'Columnare'","Semi-Mature","Semi Mature","Tarmac","Normal","Poor",14,1,334240.13,372666.12,-5.924431,54.58442,"",7
"31359","StreetTree","Lime","Tilla cordata 'Green Spire'","Juvenile","Heavy Standard","Tarmac","Normal","Poor",7,1,334293.3,372502.98,-5.923684,54.582942,"",7
